ticket_guid,segment,country,city,language,type_category,sentiment,urgency,office,manager,needs_review,summary
6f860ff9-cc01-f111-8407-0022481ba3d1,VIP,Казахстан,Кокпекты,RU,Претензия,Негативный,10,Астана,Менеджер 22,f,Клиент требует возврата списанных денег за комиссию по двум транзакциям. Требуется немедленное устранение проблемы.
117af0c4-cb00-f111-8407-0022481ba51f,VIP,Казахстан,Караганда,RU,Смена данных,Негативный,10,Астана,Менеджер 22,f,"Прошу удалить мои персональные данные и прекратить звонки/SMS, отправлено из Mail для Android."
3692ae0e-f5ef-f011-8406-0022481ba5f0,Mass,Казахстан,Аксу,RU,Неработоспособность приложения,Негативный,10,Астана,Менеджер 39,f,Приямая жалоба на неправильную работу SMS-канала. Обращение к менеджеру с требованием повысить приоритет и решить проблему в течение часа.
f79259e3-9cf2-f011-8406-0022481ba51f,Mass,Казахстан,Красный Яр,RU,Неработоспособность приложения,Негативный,10,Алматы,Менеджер 18,f,Мои счета заблокированы. Срочно разблокируйте! Вы не имеете права блокировать мои счета без причины!!!
136d32a0-bafd-f011-8406-0022481ba51f,Mass,Казахстан,Шымкент,RU,Мошеннические действия,Негативный,10,Шымкент,Менеджер 27,f,"Компания ведет себя как мошенническая структура. Перевод на сумму 200 EUR до сих пор не был зачислен на мой счет. Я инициирую заявление в правоохранительные органы, если деньги не будут зачислены к концу дня."
fe44694a-10ed-f011-8406-0022481ba5f0,VIP,Казахстан,Тургень,RU,Консультация,Нейтральный,8,Астана,Менеджер 22,f,Запрос на консультацию по возможности покупки акций дробно в приложении Freedom Broker.
da158b87-f1e9-f011-8406-0022481ba5f0,VIP,Казахстан,Усть-Каменогорск,RU,Консультация,Нейтральный,8,Усть-Каменогорск,Менеджер 42,f,Уточните за что удерживается комиссия 50 долларов за обслуживание бездействующих счетов и когда она удерживается.
ba61a4e7-f0f1-f011-8406-0022481ba51f,VIP,Казахстан,Алматы,RU,Смена данных,Нейтральный,8,Алматы,Менеджер 18,f,"Просьба изменить номер телефона на iPhone, необходимо обратиться по указанному номеру или через WhatsApp."
a154a8e6-439d-4a7b-86e8-56ef94b18ee2,VIP,Казахстан,Усть-Каменогорск,RU,Консультация,Нейтральный,8,Усть-Каменогорск,Менеджер 42,f,"Просит уточнить, когда будут исправлены неправильные показатели динамики бумаг на сайте."
85c96430-f0e9-f011-8406-0022481ba51f,VIP,Казахстан,Кыргауылды,RU,Неработоспособность приложения,Негативный,8,Астана,Менеджер 43,f,"Не могу войти в аккаунт, пароль не принимается. Попытался восстановить через email и SMS, но оба способа не работают. Помогите разобраться."
16a8690e-4aec-f011-8406-0022481bad7e,VIP,Казахстан,Караганда,RU,Консультация,Нейтральный,8,Астана,Менеджер 43,f,"Заказчик не смог произвести оплату картой привязанной к D счету и хочет узнать, что значит «обновить экономический портфель»."
9c0a1f1e-6702-f111-8407-0022481ba15f,Priority,Казахстан,Кентау,RU,Консультация,Нейтральный,8,Алматы,Менеджер 11,f,Просьба предоставить номер налогоплательщика для уведомления налогового органа.
4071842c-10df-f011-8406-0022481ba2e6,Mass,Казахстан,Кокпек,RU,Претензия,Негативный,7,Алматы,Менеджер 36,f,"Попытка возврата 125$ неудачна. Пожалуйста, верните деньги."
8de250d3-eef5-f011-8406-0022481bac13,Mass,Казахстан,Аксу,RU,Мошеннические действия,Негативный,3,Алматы,Менеджер 15,f,Заявитель обеспокоен возможным мошенничеством и просит проверить сертификаты и персональные данные.
b44f142b-78c5-4573-9bde-fe0780b2e028,Mass,Казахстан,Шымкент,RU,Неработоспособность приложения,Нейтральный,3,Шымкент,Менеджер 14,f,"Пришёл запрос на проверку работы приложения, где выявлены ошибки в отображении заказа. Менеджер должен устранить эти проблемы."
a9f07a3d-a905-f111-8407-0022481baec1,Mass,,Aktau,RU,Смена данных,Нейтральный,3,Алматы,Менеджер 18,f,Клиент просит изменить номер телефона в своем аккаунте. Менеджер должен обработать запрос.
591d3e1d-ebf8-f011-8406-0022481ba046,Mass,Казахстан,Шардара,ENG,Смена данных,Нейтральный,3,Астана,Менеджер 43,f,"Пользователь не может подтвердить регистрационный адрес на вашем платформе из-за языка документа, выданного приложением Dia. Пожалуйста, помогите с решением этой проблемы."
c577d3fd-dafc-f011-8406-0022481ba139,Mass,Казахстан,Шортанды,RU,Смена данных,Нейтральный,3,Алматы,Менеджер 18,f,Клиент не может войти в приложение из-за ошибки с номером телефона. Просит помочь.
be5a4633-fe0a-f111-8407-0022481ba5f0,Mass,Казахстан,Павлодар,RU,Консультация,Нейтральный,3,Павлодар,Менеджер 6,f,Запрос уточнения прав Money Advisor оказывать брокерские услуги от имени Фридом Финанс и наличие официального офиса в Казахстане. Заявление о возможной мошеннической деятельности.
2a99d51e-7dfb-f011-8406-0022481bac13,Mass,Казахстан,Туркестан,RU,Неработоспособность приложения,Негативный,3,Алматы,Менеджер 11,t,"Приложение не позволяет выполнить регистрацию. Менеджер должен решить, почему это происходит и как исправить. ⚠️ Похоже, язык обращения не RU/ENG/KZ. По регламенту маршрутизируем как RU, но требуется проверка."
b135ab3e-b8ef-f011-8406-0022481ba303,Mass,Казахстан,Ленгер,RU,Смена данных,Нейтральный,3,Алматы,Менеджер 10,f,Просьба изменить личные данные для восстановления доступа к брокерскому счету.
80c6ed25-45f0-f011-8406-0022481ba5f0,Mass,Казахстан,Сарань,RU,Неработоспособность приложения,Нейтральный,3,Астана,Менеджер 39,f,"Не могу зарегистрироваться в приложении Freedom Broker. Приложение отвечает ошибкой на первом шаге регистрации (ввод почты и пароля). Я нахожусь в России, использую VPN для входа."
c27f8c40-1ff5-f011-8406-0022481ba15f,Mass,Казахстан,Осакаровка,RU,Неработоспособность приложения,Нейтральный,3,Алматы,Менеджер 15,f,"Клиент не может войти на свой счет из-за неприходящего смска с восстановлением пароля. Пожалуйста, проверьте и устраните проблему."
6f129f43-ecfa-f011-8406-0022481bad7e,Mass,Казахстан,Алматы,ENG,Смена данных,Нейтральный,3,Алматы,Менеджер 18,f,Пользователь не может завершить верификацию аккаунта из-за неподдерживаемого языка на документе. Он просит предоставить альтернативные варианты или ручную проверку.
6396447c-daf1-f011-8406-0022481ba303,Mass,Казахстан,Бадам,ENG,Неработоспособность приложения,Нейтральный,3,Астана,Менеджер 40,f,"Пользователь заблокирован в при, возможно из-за многочисленных попыток добавления документов для регистрации адреса. Пожалуйста, разблокируйте его."
5d29d98c-55fb-f011-8406-0022481baa2c,Mass,Казахстан,Бескарагай,KZ,Консультация,Нейтральный,3,Алматы,Менеджер 24,f,"Заявитель интересуется возможностью покупки облигаций, но не уверен в процессе. Менеджер должен предоставить информацию о процедуре и условиях."
cc75c0da-e907-f111-8407-0022481bac13,Mass,Казахстан,Костанай,RU,Спам,Нейтральный,1,,,f,Предложение выгодного предложения на сварочные многофункциональные агрегаты ET-Welding. Помогите подобрать оборудование для задач.
493fd23b-ad01-f111-8407-0022481baec1,Mass,Казахстан,Конаев (Капчагай),RU,Спам,Нейтральный,1,,,f,Заявка на участие в мероприятии ПЕРВОУРАЛЬСКБАНК: ДЕНЬ ИНВЕСТОРА. Представлены основные факты банка и ссылка для регистрации.
d8dcd8f8-b4eb-f011-8406-0022481ba388,Mass,Казахстан,Кокшетау,RU,Консультация,Нейтральный,1,Кокшетау,Менеджер 51,f,"Здравствуйте, я хотел бы узнать, у вас есть доступ к ETF KSA или прямой торговле на Tadawul? Это рынок Саудовской Аравии, который теперь открыт с 1 февраля этого года."
bb54127b-4ef1-f011-8406-0022481ba654,Mass,Казахстан,Косшы / Астана,RU,Спам,Нейтральный,1,,,f,Заказ тюльпанов срезанных из питомника Вашутино. Просьба предоставить информацию о специальных ценах до 20 января и условиях отгрузки.
68086831-220b-f111-8407-0022481baa2c,Mass,Казахстан,Индербор,KZ,Консультация,Нейтральный,1,Астана,Менеджер 39,f,Запрос на информацию о цене облигации в тенге. Менеджер должен предоставить эту информацию.
